valueDate,notes,organization,email,clientName,amount,currency
27-Nov-19,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CC,173.33,USD
27-Nov-19,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,NA,375,USD
20-Nov-19,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CC,110,USD
20-Nov-19,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,NA,466.67,USD
13-Nov-19,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CC,316.67,USD
13-Nov-19,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,NA,616.67,USD
6-Nov-19,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CC,50,USD
6-Nov-19,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,NA,866.67,USD
27-Nov-19,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,LZ,445,USD
20-Nov-19,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,LZ,437.5,USD
13-Nov-19,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,LZ,432.5,USD
6-Nov-19,Job Done,Ever Technologies LTD,ruslan@qwerty.co.ke,LZ,442.5,USD
27-Nov-19,Job Done,Ever Technologies LTD,elvis@qwerty.co.ke,LZ,693.33,USD
20-Nov-19,Job Done,Ever Technologies LTD,elvis@qwerty.co.ke,LZ,523.33,USD
13-Nov-19,Job Done,Ever Technologies LTD,elvis@qwerty.co.ke,LZ,663.33,USD
6-Nov-19,Job Done,Ever Technologies LTD,elvis@qwerty.co.ke,LZ,403.33,USD
27-Nov-19,Job Done,Ever Technologies LTD,hristo@qwerty.co.ke,NA,570,USD
20-Nov-19,Job Done,Ever Technologies LTD,hristo@qwerty.co.ke,NA,562.5,USD
13-Nov-19,Job Done,Ever Technologies LTD,hristo@qwerty.co.ke,NA,600,USD
6-Nov-19,Job Done,Ever Technologies LTD,hristo@qwerty.co.ke,NA,572.5,USD
29-Oct-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,ID,854,USD
04-Oct-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CL,255,USD
30-Oct-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,AE,188,USD
02-Nov-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,PL,437,USD
28-Sep-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,ID,198,USD
25-Jan-22,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,PH,447,USD
24-Nov-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,FI,930,USD
05-Oct-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,CN,875,USD
01-Oct-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,NZ,262,USD
26-Jan-22,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,ID,107,USD
24-Jan-22,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,ID,504,USD
26-Nov-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,ID,935,USD
15-Oct-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,UA,417,USD
30-Nov-21,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,BR,959,USD
14-Jan-22,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,UA,960,USD
20-Jan-22,Job Done,Ever Technologies LTD,alish@qwerty.co.ke,JP,291,USD
